	WT1	WT2	WT3	WT4	WT5	WT6	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6
GENE1	0.351265728	0.344698798	0.335043782	0.202098273	0.226246635	0.203972076	0.172903163	0.181874997	0.180685587	0.11258994	0.119615949	0.113403983
GENE2	0.073707707	0.075660659	0.073730876	0.069906887	0.071230153	0.075141769	0.05674855	0.058617876	0.06280409	0.054859292	0.062303042	0.045468407
GENE3	0.111867694	0.089479352	0.091569991	0.104688192	0.124833607	0.109657324	0.094794996	0.096070717	0.12015151	0.063865482	0.076663109	0.081376648
GENE4	0.216429351	0.182964839	0.110612942	0.063085717	0.06742295	0.073581801	0.060567194	0.065002049	0.050774096	0.043339977	0.049809121	0.049781396
GENE5	0.094711782	0.091240922	0.077559524	0.106222489	0.102451547	0.109789371	0.084775859	0.082165593	0.086826306	0.080443556	0.069832656	0.066119901
GENE6	0.033521577	0.035472575	0.039217987	0.031704713	0.034547208	0.03528976	0.026657797	0.044264509	0.042652136	0.020619581	0.032153702	0.023213412
GENE7	0.08738061	0.089862267	0.061803873	0.092289577	0.086918939	0.079140155	0.084198699	0.082786562	0.085987573	0.053970403	0.07436038	0.060733399
GENE8	0.084116096	0.074241781	0.085869831	0.104729865	0.090258154	0.10009604	0.066508846	0.066679002	0.074839989	0.064829305	0.063492778	0.071402258
GENE9	0.080179032	0.084432573	0.095534071	0.065843248	0.06561832	0.067486037	0.051535394	0.054843039	0.069268015	0.038715515	0.042195818	0.043371181
GENE10	0.109293621	0.112923875	0.097328364	0.148982915	0.150162226	0.146020711	0.119676168	0.115979171	0.118788205	0.072128683	0.084971216	0.074299229
